tarih,platform,metin,etkilesim
2026-06-21,Instagram,"""ChatGPT mucidi Sam Altman hakkında söylenen çarpıcı sözler.👉🏻  via @newyorkermag / @ronanfarrow & @andrewmarantz"".",4
2026-06-21,Instagram,"""Resident Evil’ın en sevdiğiniz oyunu hangisi?"".",924 likes
2026-06-21,Instagram,"""iPhone 18’in gelecek yıla erteleneceğine dair iddialar güçlendi.  Apple’ın tedarikçilerinden Largan Precision’ın başkan...",1
2026-06-21,Instagram,"""Siz bu konu hakkında ne düşünüyorsunuz?"".",4
2026-06-12,Instagram,"""Amme Hizmeti geldi!"".",6
