tarih,platform,metin,etkilesim
2026-06-17 15:38:36,Telegram,"Instagram’ın X’e rakip olarak hayata geçirdiği Threads, Türkiye'de yeniden erişime açıldı.

📌 Platform 23 Nisan 2024'te Türkiye’de erişime engellenmişti.",1029
2026-06-17 14:15:45,Telegram,"Assassin's Creed ve Far Cry serisi ücretsiz oynanabilecek!

📌 Ubisoft+ Premium 18-23 Haziran tarihleri arasında tamamen ücretsiz olacak.

Ücretsiz oynanabilecek oyunlar:
- Assassin’s Creed Shadows ve Claws of Awaji DLC'si
- The Division 2
- Rainbow Six Siege
- Far Cry 6
- Anno 117: Pax Romana
- Star Wars Outlaws
- Avatar: Frontiers of Pandora
- The Crew Motorfest
- For Honor ve çok daha fazlası...",1034
2026-06-17 12:39:04,Telegram,"Android 17 resmen yayımlandı! 👇

📌 Kararlı sürüm şimdilik sadece Google Pixel telefonlar için yayımlandı.

📌 Android 17, yapay zekâ, üretkenlik, çoklu görev ve güvenlik odaklı yenilikler getiriyor. Lyria 3 ile metin veya görsel komutlardan müzik üretilebilecek, Gemini Omni ise metinlerden özel video klipler oluşturabilecek. 

📌 Pixel 10 serisi Magic Cue, Pixel 10a ise Voice Translate desteği kazanıyor; Quick Share uyumluluğu da Pixel 9a ve Pixel 8a modellerine genişliyor.

📌 Arayüz tarafında Bubbles özelliği artık tüm uygulamalarda kullanılabilecek ve uygulamalar yüzen baloncuklara dönüştürülebilecek. 

📌 Güvenlikte ise hassas konum ve rehber erişimi için geçici izinler sunuluyor. Find Hub’daki “Kayıp Olarak İşaretle” özelliği, kaybolan cihazı biyometrik verilerle kilitleyebilecek.

📌 İçerik üreticileri için Screen Reactions, ekran kaydına selfie kamerasıyla tepki eklemeyi sağlarken; oyuncular için Katlanabilir Oyun Modu, katlanabilir ekranı oyun ve kontrol alanı olarak ikiye bölecek.",973
2026-06-17 11:49:38,Telegram,"iPhone 18 daha yüksek RAM'le gelecek ama fiyatı aynı kalacak!

📌 Apple’ın 2027 başında tanıtması beklenen düz iPhone 18’in RAM kapasitesinin 12 GB’a çıkarılacağı iddia edildi. 

📌 DigiTimes’a göre bu artış, gelişmiş yapay zekâ ve yeni Siri özellikleri için yapılacak. En dikkat çekici iddia ise Apple’ın bu yükseltmeye rağmen başlangıç fiyatını 799 dolarda tutacağı yönünde.",952
2026-06-17 10:37:55,Telegram,"Clash of Clans’ta 7 yıl sonra küresel sohbet geri döndü!

2019 yılında kaldırılan özellik, bugün itibarıyla yeniden oyuna eklendi. Ancak sistem bu kez bazı değişikliklerle geliyor: Artık küresel sohbete katılmak için bir sohbet grubu oluşturmak ya da mevcut bir gruba dahil olmak gerekiyor.",936
2026-06-17 09:02:47,Telegram,"2026 FIFA Dünya Kupası yayınlarını ciddi anlamda etkileyecek bir güvenlik açığı keşfedildi!

📌 Bir siber güvenlik araştırmacısı, FIFA Agent Platform’a standart kullanıcı olarak kayıt olduktan sonra FIFA’nın kurumsal kimlik sistemine dâhil edildiğini fark etti.

📌 Bu hesapla FIFA’nın Futbol Veri Platformu’na erişmeyi deneyen araştırmacı, rol uyarısının sadece görsel olduğunu ve arka plandaki verilerin korunmadığını gördü. Böylece canlı yayın yönetim paneline, maç yayın linklerine, yayın anahtarlarına ve bazı yayın kontrol butonlarına ulaşabildi.

📌 Açık yalnızca yayınlarla sınırlı değildi; maç skorları, istatistikler, başlama saatleri, spiker notları ve bazı gizli FIFA belgeleri de risk altındaydı. 

📌 Araştırmacı durumu FIFA’ya bildirmeye çalıştı ancak doğrudan yanıt alamayınca MediaKind, CISA ve FBI üzerinden acil bildirim yaptı. FIFA ertesi gün açığı kapattı ancak araştırmacıya resmî teşekkür ya da ödül verilmediği belirtildi.",926
2026-06-17 07:00:44,Telegram,"NVIDIA GPU’lu Intel işlemciler geliyor!

📌 Intel cephesinde kartlar yeniden dağıtılıyor. Erdi Özüağ’ın aktardığı özel bilgilere göre şirket, NVIDIA grafik birimine sahip yeni nesil Intel işlemciler üzerinde çalışıyor.

📌 Güncel yol haritasına göre bu işlemcilerin 2028’in ilk çeyreğinde duyurulması planlanıyor. Büyük bir aksilik yaşanmazsa resmi lansmanın CES 2028 kapsamında yapılması bekleniyor.

📌 Öte yandan Apple ve Intel arasındaki üretim görüşmelerinin de sürdüğü belirtiliyor. İddialara göre taraflar arasındaki anlaşma 2027’nin son çeyreğinde duyurulabilir. Bu olası iş birliği, Apple’ın x86 mimarisine dönüşü anlamına gelmeyecek; Intel’in, ARM tabanlı Apple işlemcilerinin üretiminde rol alması gündeme gelecek.

📌 Ancak tüm bu planların hayata geçebilmesi için Intel’in “18A” üretim sürecinde verimliliği artırması gerekiyor. Özüağ’ın aktardığı kulis bilgilerine göre Intel 18A sürecindeki mevcut verimlilik şu anda yüzde 30-40 seviyelerinde.",984
2026-06-16 12:59:32,Telegram,"Çinli teknoloji devi Hisense, Türkiye'ye geldi.

Dünya Kupası’nın da sponsorları arasında yer alan marka, Türkiye pazarında resmî operasyonlarını başlattığını açıkladı. Marka ilk etapta 2 farklı kategoride ülkemizde ürün satacak.

Türkiye’de ilk başta televizyon ve akıllı klima modelleriyle satış yapacak.",1068
2026-06-16 12:36:07,Telegram,"iPhone 18'in gelecek yıla erteleneceğine dair iddialar güçlendi.

📌 Apple’ın tedarikçilerinden Largan Precision’ın başkanı, büyük bir ABD’li müşterilerinin yeni model lansmanını 2027’nin ilk çeyreğine kaydırdığını açıkladı.

📌 Bu açıklamada Apple veya iPhone adı geçmese de Largan’ın iPhone kamera lensi tedarikçisi olması nedeniyle söz konusu şirketin Apple olduğu düşünülüyor. Buna göre Apple, telefon lansmanlarını ikiye bölebilir; Pro ve Pro Max modelleri önce çıkarken standart iPhone 18 daha sonra, 2027’de tanıtılabilir.",1040
2026-06-16 10:57:56,Telegram,"Lastik şirketlerine toplamda 3.633.000.000 TL ceza kesildi.

📌 Brisa: 1.019.000.000 TL
📌 Goodyear: 672.000.000 TL
📌 Continental: 397.000.000 TL
📌 Petlas: 397.000.000 TL
📌 Hankook: 361.000.000 TL
📌 Pirelli: 292.000.000 TL
📌 Prometeon: 206.000.000 TL
📌 Michelin: 185.000.000 TL

Firmaların fiyatlarda uyumlu hareket ederek rekabeti bozduğu; ayrıca bayilere kısıtlamalar getirdiği ve iş gücü piyasasına yönelik rekabet kurallarını ihlal ettiği tespit edildi.",1056
